Date;Time;PH;TEMP
01/02/2022;08:00:00;7.7;24.35
01/02/2022;08:20:00;7.6;24.3
01/02/2022;08:40:00;8.5;24.28
01/02/2022;09:00:00;7.5;24.25
01/02/2022;09:20:00;7.4;24.1
01/02/2022;09:40:00;7.4;24.08
01/02/2022;10:00:00;8.6;24.08
01/02/2022;10:20:00;8.6;23.89
01/02/2022;10:40:00;7.4;23.75
01/02/2022;11:00:00;8.6;23.71
01/02/2022;11:20:00;8.9;23.63
01/02/2022;11:40:00;8.4;23.61
01/02/2022;12:00:00;8;23.59
01/02/2022;12:20:00;8;23.54
01/02/2022;12:40:00;7.6;23.27
01/02/2022;13:00:00;8.1;23.04
01/02/2022;13:20:00;7.3;23.01
01/02/2022;13:40:00;8.6;22.66
01/02/2022;14:00:00;8.5;22.33
01/02/2022;14:20:00;7.9;22.18
01/02/2022;14:40:00;8.3;22.04
01/02/2022;15:00:00;8.5;21.95
01/02/2022;15:20:00;8.3;21.93
01/02/2022;15:40:00;8.1;21.73
01/02/2022;16:00:00;8.7;21.62
01/02/2022;16:20:00;7.5;21.6
01/02/2022;16:40:00;7.8;21.52
01/02/2022;17:00:00;8;21.09
01/02/2022;17:20:00;8.8;21.06
01/02/2022;17:40:00;7.7;21.06
01/02/2022;18:00:00;7.9;21.25
01/02/2022;18:20:00;7.5;21.42
01/02/2022;18:40:00;7.6;21.52
01/02/2022;19:00:00;7.9;21.76
01/02/2022;19:20:00;7.6;21.91
01/02/2022;19:40:00;8.6;21.93
01/02/2022;20:00:00;7.5;22.37
01/02/2022;20:20:00;7.3;22.49
01/02/2022;20:40:00;8.5;22.55
01/02/2022;21:00:00;8.1;22.89
01/02/2022;21:20:00;7.4;23.06
01/02/2022;21:40:00;7.4;24.06
01/02/2022;22:00:00;7.5;24.16
01/02/2022;22:20:00;7.9;24.6
01/02/2022;22:40:00;8.8;24.94
01/02/2022;23:00:00;8.8;25.05
01/02/2022;23:20:00;8.5;25.14
01/02/2022;23:40:00;8.2;25.31
01/02/2022;00:00:00;8.6;25.31
01/02/2022;00:20:00;8.5;25.36
01/02/2022;00:40:00;8.3;25.5
01/02/2022;01:00:00;8.5;25.62
01/02/2022;01:20:00;8.1;25.92
01/02/2022;01:40:00;7.6;26.06
01/02/2022;02:00:00;8.7;25.95
01/02/2022;02:20:00;8.7;25.93
01/02/2022;02:40:00;8;25.92
01/02/2022;03:00:00;7.8;25.78
01/02/2022;03:20:00;8.9;25.73
01/02/2022;03:40:00;7.6;25.69
01/02/2022;04:00:00;7.5;25.62
01/02/2022;04:20:00;8.4;25.44
01/02/2022;04:40:00;7.7;25.31
01/02/2022;05:00:00;8.4;25.03
01/02/2022;05:20:00;7.3;25.02
01/02/2022;05:40:00;8.2;24.46
01/02/2022;06:00:00;8.8;24.41
01/02/2022;06:20:00;7.5;24.15
01/02/2022;06:40:00;8.5;24.14
01/02/2022;07:00:00;8.8;23.86
02/02/2022;07:20:00;8.7;23.73
02/02/2022;07:40:00;8;23.52
02/02/2022;08:00:00;8;23.49
02/02/2022;08:20:00;7.4;23.3
02/02/2022;08:40:00;8.8;23.14
02/02/2022;09:00:00;7.7;23.05
02/02/2022;09:20:00;8.1;22.66
02/02/2022;09:40:00;7.7;22.74
02/02/2022;10:00:00;8.1;22.38
02/02/2022;10:20:00;8.8;22.33
02/02/2022;10:40:00;7.9;22.16
02/02/2022;11:00:00;8.4;22.11
02/02/2022;11:20:00;7.9;22.05
02/02/2022;11:40:00;7.4;21.74
02/02/2022;12:00:00;8.2;21.71
02/02/2022;12:20:00;8.3;21.68
02/02/2022;12:40:00;8;21.65
02/02/2022;13:00:00;7.3;21.53
02/02/2022;13:20:00;8.2;21.47
02/02/2022;13:40:00;8.5;21.43
02/02/2022;14:00:00;7.7;21.09
02/02/2022;14:20:00;8.4;21.14
02/02/2022;14:40:00;8.3;21.23
02/02/2022;15:00:00;7.8;21.23
02/02/2022;15:20:00;8.8;21.31
02/02/2022;15:40:00;7.9;21.85
02/02/2022;16:00:00;8.8;21.96
02/02/2022;16:20:00;8.6;22.07
02/02/2022;16:40:00;7.6;22.12
02/02/2022;17:00:00;8.1;22.41
02/02/2022;17:20:00;8.3;22.92
02/02/2022;17:40:00;8.1;23.02
02/02/2022;18:00:00;7.9;23.6
02/02/2022;18:20:00;7.9;23.66
02/02/2022;18:40:00;7.4;24.09
02/02/2022;19:00:00;7.3;24.15
02/02/2022;19:20:00;8.4;24.23
02/02/2022;19:40:00;7.6;24.52
02/02/2022;20:00:00;7.6;24.68
02/02/2022;20:20:00;7.7;24.87
02/02/2022;20:40:00;7.5;25.17
02/02/2022;21:00:00;8.1;25.33
02/02/2022;21:20:00;8.3;25.64
02/02/2022;21:40:00;8.9;26.07
02/02/2022;22:00:00;7.6;25.98
02/02/2022;22:20:00;7.4;25.91
02/02/2022;22:40:00;7.5;25.55
02/02/2022;23:00:00;7.7;25.46
02/02/2022;23:20:00;7.3;25.18
02/02/2022;23:40:00;7.9;25.11
02/02/2022;00:00:00;7.6;25.01
02/02/2022;00:20:00;8.4;24.81
02/02/2022;00:40:00;8.5;24.63
02/02/2022;01:00:00;8;24.49
02/02/2022;01:20:00;8.2;24.31
02/02/2022;01:40:00;8.5;24.28
02/02/2022;02:00:00;7.3;24.27
02/02/2022;02:20:00;7.6;24.07
02/02/2022;02:40:00;8.1;24.02
02/02/2022;03:00:00;7.7;23.96
02/02/2022;03:20:00;8.6;23.91
02/02/2022;03:40:00;7.6;23.82
02/02/2022;04:00:00;7.3;23.71
