ph,temp,type
6.0,27.0,ikan lele
7.6,28.0,ikan nila
7.8,27.0,ikan nila
6.5,31.0,ikan nila
8.2,27.0,ikan nila
6.9,25.0,ikan nila
7.3,30.0,ikan nila
7.2,29.0,ikan nila
7.5,32.0,ikan nila
7.7,22.0,ikan nila
7.9,29.0,ikan nila
8.9,27.0,ikan nila
8.8,30.0,ikan nila
8.4,25.0,ikan nila
6.1,31.0,ikan lele
5.5,18.0,unknown
7.1,23.0,ikan nila
6.2,19.0,unknown
6.8,22.0,ikan nila
5.9,21.0,ikan gurame
7.5,29.0,ikan nila
8.3,30.0,ikan nila
7.3,32.0,ikan nila
7.5,31.0,ikan nila
7.9,25.0,ikan nila
8.5,32.0,ikan nila
8.1,29.0,ikan nila
7.9,28.0,ikan nila
8.5,30.0,ikan nila
7.4,29.0,ikan nila
7.8,25.0,ikan nila
8.0,27.0,ikan nila
6.5,21.0,ikan nila
5.9,25.0,ikan gurame
5.6,27.0,ikan gurame
7.1,28.0,ikan nila
6.8,27.0,ikan nila
8.6,31.0,ikan nila
8.5,31.0,ikan nila
8.3,31.0,ikan nila
7.0,30.0,ikan nila
7.4,30.0,ikan nila
7.8,28.0,ikan nila
7.7,28.0,ikan nila
8.2,30.0,ikan nila
7.9,26.0,ikan nila
5.7,32.0,ikan gurame
7.0,31.0,ikan nila
6.2,29.0,ikan lele
6.6,25.0,ikan nila
6.0,26.0,ikan lele
7.6,31.0,ikan nila
8.0,28.0,ikan nila
8.0,25.0,ikan nila
8.2,31.0,ikan nila
8.1,28.0,ikan nila
6.2,26.0,ikan lele
6.9,30.0,ikan nila
6.5,28.0,ikan nila
7.9,30.0,ikan nila
7.0,28.0,ikan nila
7.6,29.0,ikan nila
8.0,31.0,ikan nila
6.1,24.0,ikan lele
6.2,25.0,ikan lele
6.3,26.0,ikan lele
6.4,24.0,ikan lele
6.5,26.0,ikan nila
6.6,26.0,ikan nila
6.7,25.0,ikan nila
6.8,26.0,ikan nila
7.0,25.0,ikan nila
7.5,24.0,ikan nila
8.0,26.0,ikan nila
8.2,24.0,ikan nila
8.3,25.0,ikan nila
7.2,26.0,ikan nila
7.4,26.0,ikan nila
9.0,28.0,ikan nila
7.4,31.0,ikan nila
7.3,25.0,ikan nila
7.5,27.0,ikan nila
7.2,28.0,ikan nila
6.5,30.0,ikan nila
6.8,29.0,ikan nila
8.5,27.0,ikan nila
7.0,5.0,unknown
7.1,10.0,unknown
7.2,15.0,unknown
7.3,20.0,ikan nila
7.5,25.0,ikan nila
7.1,30.0,ikan nila
7.2,12.0,unknown
7.3,13.0,unknown
7.5,14.0,unknown
7.4,18.0,unknown
7.0,22.0,ikan nila
7.1,31.0,ikan nila
7.2,19.0,unknown
7.3,7.0,unknown
7.5,8.0,unknown
7.4,9.0,unknown
7.0,11.0,unknown
7.1,16.0,unknown
7.2,17.0,unknown
7.3,18.0,unknown
7.5,23.0,ikan nila
7.4,25.0,ikan nila
7.0,27.0,ikan nila
7.2,4.0,unknown
7.3,6.0,unknown
7.5,21.0,ikan nila
7.0,33.0,ikan nila
7.1,34.0,ikan nila
7.2,35.0,ikan nila
7.1,22.0,ikan nila
7.2,21.0,ikan nila
7.3,22.0,ikan nila
7.4,23.0,ikan nila
7.1,24.0,ikan nila
7.2,25.0,ikan nila
7.3,26.0,ikan nila
7.4,27.0,ikan nila
7.2,24.0,ikan nila
7.7,29.0,ikan nila
7.8,30.0,ikan nila
7.9,31.0,ikan nila
8.0,32.0,ikan nila
8.1,33.0,ikan nila
8.2,34.0,ikan nila
8.3,35.0,ikan nila
6.6,29.0,ikan nila
6.8,30.0,ikan nila
6.9,31.0,ikan nila
7.0,26.0,ikan nila
7.9,32.0,ikan nila
7.5,19.0,unknown
7.6,20.0,ikan nila
7.7,21.0,ikan nila
7.8,22.0,ikan nila
7.9,23.0,ikan nila
7.4,24.0,ikan nila
7.5,26.0,ikan nila
7.6,27.0,ikan nila
7.8,29.0,ikan nila
7.6,32.0,ikan nila
8.5,28.0,ikan nila
8.8,25.0,ikan nila
7.0,29.0,ikan nila
8.6,30.0,ikan nila
7.7,17.6,unknown
8.4,17.5,unknown
8.2,17.6,unknown
8.3,17.8,unknown
8.3,17.7,unknown
8.4,17.7,unknown
7.8,17.6,unknown
6.7,17.5,unknown
6.0,17.6,unknown
8.0,17.6,unknown
7.8,17.8,unknown
7.9,17.8,unknown
7.8,17.7,unknown
8.2,17.7,unknown
8.2,17.8,unknown
8.3,17.6,unknown
8.6,17.8,unknown
8.7,17.9,unknown
8.6,17.9,unknown
8.7,17.8,unknown
8.8,18.0,unknown
8.8,17.9,unknown
8.9,18.0,unknown
8.8,17.8,unknown
6.0,21.0,ikan lele
6.1,21.1,ikan lele
6.9,21.0,ikan nila
6.4,20.9,ikan lele
7.0,21.0,ikan nila
7.3,21.1,ikan nila
7.1,21.1,ikan nila
7.6,20.9,ikan nila
7.8,20.9,ikan nila
7.8,21.1,ikan nila
7.5,20.9,ikan nila
7.1,20.9,ikan nila
7.0,21.1,ikan nila
6.9,21.1,ikan nila
6.7,21.0,ikan nila
8.3,21.4,ikan nila
8.2,21.5,ikan nila
8.1,21.4,ikan nila
8.0,21.4,ikan nila
7.9,21.5,ikan nila
7.9,21.2,ikan nila
7.7,21.3,ikan nila
7.5,21.1,ikan nila
7.5,21.2,ikan nila
7.4,21.2,ikan nila
7.4,21.1,ikan nila
7.3,21.2,ikan nila
7.0,21.2,ikan nila
6.8,21.2,ikan nila
6.9,21.2,ikan nila
6.5,21.2,ikan nila
6.0,21.1,ikan lele
6.4,21.2,ikan lele
7.2,21.1,ikan nila
7.1,21.2,ikan nila
7.6,21.1,ikan nila
7.8,21.2,ikan nila
6.7,21.2,ikan nila
7.7,24.4,ikan nila
7.6,24.3,ikan nila
8.5,24.3,ikan nila
7.5,24.2,ikan nila
7.4,24.1,ikan nila
8.6,24.1,ikan nila
8.6,23.9,ikan nila
7.4,23.8,ikan nila
8.6,23.7,ikan nila
8.9,23.6,ikan nila
8.4,23.6,ikan nila
8.0,23.6,ikan nila
8.0,23.5,ikan nila
7.6,23.3,ikan nila
8.1,23.0,ikan nila
7.3,23.0,ikan nila
8.6,22.7,ikan nila
8.5,22.3,ikan nila
7.9,22.2,ikan nila
8.3,22.0,ikan nila
8.5,22.0,ikan nila
8.3,21.9,ikan nila
8.1,21.7,ikan nila
8.7,21.6,ikan nila
7.5,21.6,ikan nila
7.8,21.5,ikan nila
8.0,21.1,ikan nila
8.8,21.1,ikan nila
7.7,21.1,ikan nila
7.5,21.4,ikan nila
7.6,21.5,ikan nila
7.9,21.8,ikan nila
7.6,21.9,ikan nila
8.6,21.9,ikan nila
7.5,22.4,ikan nila
7.3,22.5,ikan nila
8.5,22.6,ikan nila
8.1,22.9,ikan nila
7.4,23.1,ikan nila
7.9,24.6,ikan nila
8.8,24.9,ikan nila
8.5,25.1,ikan nila
8.2,25.3,ikan nila
8.6,25.3,ikan nila
8.5,25.4,ikan nila
