ph;temperature
6;27
7.6;28
7.8;27
6.5;31
8.2;27
6.9;25
7.3;30
7.2;29
7.5;32
7.7;22
7.9;29
8.9;27
8.8;30
8.4;25
6.1;31
5.5;18
7.1;23
6.2;19
6.8;22
5.9;21
7.5;29
8.2;27
8.3;30
7.3;32
7.9;29
7.8;27
7.5;31
7.9;25
8.5;32
8.1;29
7.9;28
8.5;30
7.4;29
7.8;25
8;27
6.5;21
5.9;25
5.6;27
7.1;28
6.8;27
8.6;31
8.5;31
8.6;31
7.1;28
8.3;31
7;30
7.4;30
7.8;28
7.7;28
8.2;30
7.9;26
7.5;31
7.8;27
5.7;32
7;31
6.2;29
6.6;25
6;26
8.2;30
7.6;31
7.8;27
8;28
8;25
8.2;31
8.1;28
8.5;32
8;27
6.2;26
6.9;30
6.5;28
7.9;30
7.8;28
6;26
7;28
7.6;29
8;31
8.5;30
6.1;24
6.2;25
6.3;26
6.4;24
6.5;26
6.6;26
6.7;25
6.8;26
7;25
7.5;24
7.8;25
7.9;26
8;26
8.2;24
8.3;25
7.2;26
7.4;26
8.9;27
9;28
7;30
7.4;31
7.3;25
7.5;27
7.2;28
6.5;30
6.8;29
8.5;27
9;28
7;5
7.1;10
7.2;15
7.3;20
7.5;25
7.4;26
7;28
7.1;30
7.2;12
7.3;13
7.5;14
7.4;18
7;22
7.1;31
7.2;19
7.3;7
7.5;8
7.4;9
7;11
7.1;16
7.2;17
7.3;18
7.5;23
7.4;25
7;27
7.1;28
7.2;4
7.3;6
7.5;21
7.4;29
7;33
7.1;34
7.2;35
7.1;22
7.2;21
7.3;22
7.4;23
7.1;24
7.2;25
7.3;26
7.4;27
7.1;28
7.2;29
7.3;30
7.1;23
7.2;24
7.3;25
7.4;26
7.5;27
7.6;28
7.7;29
7.8;30
7.9;31
8;32
8.1;33
8.2;34
8.3;35
7.8;27
7.5;31
7.9;25
8.5;32
6.5;28
6.6;29
6.8;30
6.9;31
7;26
7.4;18
7.9;32
7.5;19
7.6;20
7.7;21
7.8;22
7.9;23
7.4;24
7.9;25
7.5;26
7.6;27
7.7;28
7.8;29
7.9;30
7.6;32
8.5;28
7.6;32
8.8;25
7;29
8.6;30
7.67;17.62
8.39;17.5
8.24;17.56
8.26;17.75
8.23;17.56
8.31;17.69
8.38;17.69
7.84;17.56
6.7;17.5
6.02;17.62
8.16;17.62
8.23;17.56
7.96;17.62
7.79;17.75
7.88;17.75
7.84;17.69
8.18;17.69
8.16;17.75
8.32;17.56
8.23;17.56
8.65;17.75
8.66;17.87
8.74;17.94
8.57;17.87
8.62;17.81
8.69;17.94
8.73;17.81
8.63;17.94
8.66;17.94
8.75;18
8.77;17.94
8.78;18
8.81;17.94
8.79;18
8.87;18
8.8;17.81
8.78;17.87
8.8;18
8.79;17.94
8.79;17.94
6.02;21
6.01;21
6;21
6.09;21.06
6.93;21
6.42;20.94
6.48;21
7;21
7.27;21.06
7.24;21
7.11;21.06
7.6;20.94
7.83;20.87
7.75;21.06
7.5;20.87
7.07;20.87
6.99;21.06
6.87;21.06
6.68;21
6.95;21.06
8.3;21.44
8.15;21.5
8.09;21.37
7.99;21.44
7.92;21.5
7.96;21.37
7.87;21.25
7.7;21.31
7.54;21.12
7.5;21.25
7.43;21.19
7.42;21.12
7.26;21.25
6.95;21.19
6.78;21.25
6.92;21.06
6.87;21.19
6.51;21.19
7.02;21.25
6.8;21.25
6.02;21.06
6.01;21.09
6;21.12
6.09;21.06
6.93;21.12
6.42;21.19
6.48;21.19
7;21.12
7.27;21.19
7.24;21.06
7.11;21.25
7.6;21.12
7.83;21.06
7.75;21.25
7.5;21.06
7.07;21.12
6.99;21.19
6.87;21
6.68;21.19
6.95;21.12
7.67;17.62
8.39;17.5
8.24;17.56
8.26;17.75
8.23;17.56
8.31;17.69
8.38;17.69
7.84;17.56
6.7;17.5
6.02;17.62
8.16;17.62
8.23;17.56
7.96;17.62
7.79;17.75
7.88;17.75
7.84;17.69
8.18;17.69
8.16;17.75
8.32;17.56
8.23;17.56
8.65;17.75
8.66;17.87
8.74;17.94
8.57;17.87
8.62;17.81
8.69;17.94
8.73;17.81
8.63;17.94
8.66;17.94
8.75;18
8.77;17.94
